Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Date
51,Adilabad,Adilabad(Rythu Bazar),Tomato,Other,FAQ,5000,5000,5000,12-Oct-22
52,Adilabad,Adilabad(Rythu Bazar),Tomato,Other,FAQ,5000,5000,5000,11-Oct-22
53,Adilabad,Adilabad(Rythu Bazar),Tomato,Other,FAQ,5000,5000,5000,10-Oct-22
54,Adilabad,Adilabad(Rythu Bazar),Tomato,Other,FAQ,4000,4200,4000,05-Oct-22
55,Adilabad,Adilabad(Rythu Bazar),Tomato,Other,FAQ,4000,4200,4000,04-Oct-22
56,Adilabad,Adilabad(Rythu Bazar),Tomato,Other,FAQ,5000,5200,5000,03-Oct-22
57,Adilabad,Adilabad(Rythu Bazar),Tomato,Other,FAQ,5000,5000,5000,01-Oct-22
58,Adilabad,Adilabad(Rythu Bazar),Tomato,Deshi,FAQ,2500,3000,2500,12-Feb-22
59,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,800,700,31-Dec-22
60,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,300,800,700,30-Dec-22
61,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,800,700,29-Dec-22
62,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,800,700,28-Dec-22
63,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1000,800,27-Dec-22
64,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1000,600,26-Dec-22
65,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,800,500,25-Dec-22
66,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1000,800,24-Dec-22
67,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1000,800,22-Dec-22
68,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,800,700,21-Dec-22
69,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1000,800,20-Dec-22
70,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1000,800,19-Dec-22
71,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,800,700,18-Dec-22
72,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,800,700,17-Dec-22
73,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,800,600,16-Dec-22
74,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1000,900,15-Dec-22
75,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1000,900,14-Dec-22
76,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1000,800,12-Dec-22
77,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1000,800,11-Dec-22
78,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1000,900,10-Dec-22
79,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1000,600,09-Dec-22
80,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1000,800,08-Dec-22
81,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1000,600,07-Dec-22
82,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1000,600,06-Dec-22
83,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1000,900,05-Dec-22
84,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,800,700,04-Dec-22
85,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1000,900,03-Dec-22
86,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1000,900,02-Dec-22
87,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1000,800,01-Dec-22
88,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1000,800,30-Nov-22
89,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1000,800,29-Nov-22
90,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1000,800,28-Nov-22
91,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,200,1000,800,27-Nov-22
92,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1000,800,26-Nov-22
93,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1200,1000,25-Nov-22
94,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1400,1200,22-Nov-22
95,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1200,1000,21-Nov-22
96,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1400,1200,20-Nov-22
97,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1200,1000,19-Nov-22
98,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1200,1000,18-Nov-22
99,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1000,500,17-Nov-22
100,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1000,600,16-Nov-22
101,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1200,800,15-Nov-22
102,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1400,1200,14-Nov-22
103,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1200,1000,13-Nov-22
104,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1400,1000,12-Nov-22
105,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1400,1200,11-Nov-22
106,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1400,1200,10-Nov-22
107,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1400,1200,09-Nov-22
108,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1400,1200,08-Nov-22
109,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1600,1100,07-Nov-22
110,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1400,1000,06-Nov-22
111,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1200,1000,05-Nov-22
112,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1800,1400,04-Nov-22
113,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1600,1300,03-Nov-22
114,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1600,1200,02-Nov-22
115,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1600,1200,01-Nov-22
116,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1600,1400,31-Oct-22
117,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1600,1400,30-Oct-22
118,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1800,1500,29-Oct-22
119,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,2000,1800,28-Oct-22
120,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,2400,2200,27-Oct-22
121,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,2200,2000,26-Oct-22
122,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,600,2600,2100,24-Oct-22
123,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,2600,2100,23-Oct-22
124,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,1400,3000,2600,22-Oct-22
125,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,1800,3200,3000,21-Oct-22
126,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,2000,3400,3000,20-Oct-22
127,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,1600,3200,3000,19-Oct-22
128,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,1800,3600,3400,18-Oct-22
129,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,600,4000,2800,17-Oct-22
130,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,600,3800,2500,16-Oct-22
131,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,1600,3200,3000,15-Oct-22
132,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,1600,3400,3000,14-Oct-22
133,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,800,3600,3200,13-Oct-22
134,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,800,3600,3200,12-Oct-22
135,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,4000,3500,11-Oct-22
136,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,2000,3200,2800,10-Oct-22
137,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,600,3200,2000,09-Oct-22
138,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,600,3400,3000,08-Oct-22
139,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,600,3800,3400,07-Oct-22
140,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,4000,3500,06-Oct-22
141,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,3600,2800,05-Oct-22
142,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,4500,4000,04-Oct-22
143,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,3600,2200,02-Oct-22
144,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,3600,2200,01-Oct-22
145,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,3200,2200,30-Sep-22
146,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,3200,2500,29-Sep-22
147,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,600,3200,2200,28-Sep-22
148,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,3200,2000,27-Sep-22
149,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,2400,2000,26-Sep-22
150,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,600,2600,1800,21-Sep-22
151,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,2800,1800,20-Sep-22
152,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,1200,3200,2400,19-Sep-22
153,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,3200,2000,18-Sep-22
154,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,800,2800,2000,17-Sep-22
155,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,2800,2400,16-Sep-22
156,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,600,3600,3100,15-Sep-22
157,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,800,3600,3200,14-Sep-22
158,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,1200,3600,3100,13-Sep-22
159,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,800,3600,3100,12-Sep-22
160,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,3600,3100,11-Sep-22
161,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,3200,2000,10-Sep-22
162,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,2400,1800,08-Sep-22
163,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,600,3200,2800,07-Sep-22
164,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,600,3200,2800,06-Sep-22
165,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,1200,3600,2500,04-Sep-22
166,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,3600,2800,02-Sep-22
167,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,800,2200,1600,01-Sep-22
168,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1400,500,31-Aug-22
169,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1800,1300,30-Aug-22
170,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1800,1600,29-Aug-22
171,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1200,900,28-Aug-22
172,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1200,1000,26-Aug-22
173,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1200,900,25-Aug-22
174,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1200,900,24-Aug-22
175,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1200,900,23-Aug-22
176,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1400,1200,22-Aug-22
177,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1400,1000,21-Aug-22
178,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1000,800,20-Aug-22
179,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1200,800,19-Aug-22
180,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1200,900,18-Aug-22
181,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1200,900,17-Aug-22
182,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1200,900,16-Aug-22
183,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1000,800,15-Aug-22
184,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,800,700,14-Aug-22
185,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,800,700,13-Aug-22
186,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1000,800,12-Aug-22
187,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1200,900,11-Aug-22
188,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1200,800,10-Aug-22
189,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,500,1200,1000,09-Aug-22
190,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1000,800,08-Aug-22
191,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1000,800,07-Aug-22
192,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1000,800,06-Aug-22
193,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1200,900,05-Aug-22
194,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1400,1000,04-Aug-22
195,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1400,900,03-Aug-22
196,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1200,900,02-Aug-22
197,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1000,800,01-Aug-22
198,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1000,800,30-Jul-22
199,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1400,1000,27-Jul-22
200,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1200,900,26-Jul-22
201,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1000,800,25-Jul-22
202,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1200,900,24-Jul-22
203,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1200,800,23-Jul-22
204,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1400,1000,22-Jul-22
205,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1200,900,21-Jul-22
206,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1600,1200,20-Jul-22
207,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1400,1000,19-Jul-22
208,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,600,1400,1000,18-Jul-22
209,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1600,1300,17-Jul-22
210,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,600,1400,1100,16-Jul-22
211,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,200,1400,1000,15-Jul-22
212,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,1000,1400,1100,14-Jul-22
213,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1800,1400,13-Jul-22
214,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1600,1300,12-Jul-22
215,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1200,1000,11-Jul-22
216,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1200,1000,10-Jul-22
217,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1200,800,09-Jul-22
218,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1600,1200,07-Jul-22
219,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,2000,1600,05-Jul-22
220,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,2000,1600,04-Jul-22
221,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1600,1200,03-Jul-22
222,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,800,2000,1500,30-Jun-22
223,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,800,2400,2000,28-Jun-22
224,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,800,2400,2000,27-Jun-22
225,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,800,2600,2100,26-Jun-22
226,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,800,2400,2000,25-Jun-22
227,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,800,3200,2400,24-Jun-22
228,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,1200,3600,2500,23-Jun-22
229,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,800,3400,2800,22-Jun-22
230,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,1200,3600,3000,21-Jun-22
231,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,1200,3200,2700,20-Jun-22
232,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,1600,3600,3000,19-Jun-22
233,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,1200,4400,3800,16-Jun-22
234,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,1200,4400,4000,15-Jun-22
235,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,2000,4800,4300,13-Jun-22
236,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,2000,4800,4300,12-Jun-22
237,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,2000,4800,4300,11-Jun-22
238,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,2000,4800,3500,04-Jun-22
239,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,1200,4800,3500,03-Jun-22
240,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,1600,4400,3500,02-Jun-22
241,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,800,2400,2000,29-Apr-22
242,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,2600,2100,28-Apr-22
243,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,800,2400,2000,27-Apr-22
244,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,2000,1500,24-Apr-22
245,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,2000,1500,23-Apr-22
246,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1600,1300,22-Apr-22
247,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,2000,1500,21-Apr-22
248,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,800,2000,1600,20-Apr-22
249,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,2000,1500,19-Apr-22
250,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1800,1400,18-Apr-22
251,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1400,1000,17-Apr-22
252,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1600,1200,16-Apr-22
253,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1200,800,15-Apr-22
254,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1600,1100,14-Apr-22
255,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1400,1000,13-Apr-22
256,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1000,600,12-Apr-22
257,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1200,800,11-Apr-22
258,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1400,1000,10-Apr-22
259,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1200,800,09-Apr-22
260,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,200,1000,700,08-Apr-22
261,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,800,600,06-Apr-22
262,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,1000,1200,1100,05-Apr-22
263,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1400,1000,04-Apr-22
264,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1400,1000,03-Apr-22
265,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,200,800,600,01-Apr-22
266,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,200,800,600,31-Mar-22
267,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,200,800,600,30-Mar-22
268,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,200,800,600,29-Mar-22
269,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,200,800,600,28-Mar-22
270,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,200,800,600,27-Mar-22
271,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,200,800,600,26-Mar-22
272,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,200,800,600,25-Mar-22
273,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,200,800,600,24-Mar-22
274,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,200,800,600,23-Mar-22
275,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,800,700,22-Mar-22
276,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,200,600,500,21-Mar-22
277,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,200,800,600,20-Mar-22
278,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,200,800,600,19-Mar-22
279,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,400,1000,800,18-Mar-22
280,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,200,800,600,17-Mar-22
281,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,200,800,600,16-Mar-22
282,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,200,600,500,15-Mar-22
283,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,200,600,400,14-Mar-22
284,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,200,600,500,13-Mar-22
285,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,200,600,500,11-Mar-22
286,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,200,800,500,10-Mar-22
287,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,200,800,500,09-Mar-22
288,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,200,800,600,08-Mar-22
289,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,200,600,400,07-Mar-22
290,Hyderabad,Bowenpally,Tomato,Deshi,FAQ,200,600,500,06-Mar-22
